iter	Accuracy	Logloss
0	0.8474114441	0.6452327655
1	0.8773841962	0.6039196923
2	0.8828337875	0.5805727352
3	0.8719346049	0.5563002939
4	0.8801089918	0.5297694058
5	0.8964577657	0.503756188
6	0.9209809264	0.4750687339
7	0.9237057221	0.4552881079
8	0.9209809264	0.4327013991
9	0.9291553134	0.4169970363
10	0.9264305177	0.4020315367
11	0.9291553134	0.3849851472
12	0.9291553134	0.3688930456
13	0.931880109	0.353217255
14	0.9346049046	0.3466544753
15	0.9373297003	0.3353237562
16	0.931880109	0.3245958347
17	0.931880109	0.3170585012
18	0.9400544959	0.3061578104
19	0.9509536785	0.292413159
20	0.9536784741	0.2827681365
21	0.9455040872	0.2753849648
22	0.9482288828	0.2686723669
23	0.9482288828	0.2631905276
24	0.9482288828	0.2569263937
25	0.9482288828	0.2505535486
26	0.961852861	0.2414690998
27	0.9591280654	0.2339404157
28	0.9564032698	0.2280910354
29	0.9645776567	0.2232951933
30	0.9645776567	0.2190638436
31	0.9673024523	0.2136923285
32	0.970027248	0.211072714
33	0.9727520436	0.2067726853
34	0.9727520436	0.2028368913
35	0.9727520436	0.2009701941
36	0.9782016349	0.1956843698
37	0.9782016349	0.1929495428
38	0.9782016349	0.1892754893
39	0.9782016349	0.184283932
40	0.9782016349	0.1801608816
41	0.9836512262	0.1748935292
42	0.9809264305	0.1693618793
43	0.9836512262	0.1650017101
44	0.9836512262	0.161704129
45	0.9891008174	0.1577422963
46	0.9891008174	0.1551540892
47	0.9891008174	0.151684074
48	0.9863760218	0.1481876131
49	0.9918256131	0.1463336828
50	0.9918256131	0.1417270704
51	0.9918256131	0.1402221489
52	0.9918256131	0.1390972277
53	0.9945504087	0.136329207
54	0.9945504087	0.1342510247
55	0.9918256131	0.1320102603
56	0.9945504087	0.1291743577
57	0.9918256131	0.1269374154
58	0.9918256131	0.1253066582
59	0.9918256131	0.1234683212
60	0.9945504087	0.1214084688
61	0.9945504087	0.1187728221
62	0.9945504087	0.1171652603
63	0.9945504087	0.1155814816
64	0.9945504087	0.1147379259
65	0.9945504087	0.1130397524
66	0.9945504087	0.1106591366
67	0.9972752044	0.1095398233
68	1	0.1069436521
69	1	0.1045056305
70	1	0.1021782654
71	1	0.09994345077
72	1	0.09766173097
73	1	0.0959551144
74	1	0.09446074901
75	1	0.09184419037
76	1	0.09070759417
77	1	0.08929568085
78	1	0.08773878302
79	1	0.08603806512
80	1	0.08487492818
81	1	0.08273551741
82	1	0.08077351016
83	1	0.07871922925
84	1	0.07715277067
85	1	0.07565472716
86	1	0.07391333147
87	1	0.07219631399
88	1	0.07076794088
89	1	0.06930559785
90	1	0.0676019225
91	1	0.06610241946
92	1	0.06458184659
93	1	0.06244414876
94	1	0.06089792514
95	1	0.05877533627
96	1	0.05702409146
97	1	0.05551628939
98	1	0.05380543135
99	1	0.0522122982
