iter	Passed	Remaining
0	369	36548
1	723	35472
2	1081	34960
3	1453	34878
4	1826	34706
5	2175	34078
6	2510	33351
7	2860	32898
8	3209	32451
9	3545	31907
10	3901	31566
11	4248	31156
12	4578	30641
13	4916	30203
14	5267	29849
15	5601	29409
16	5936	28981
17	6304	28720
18	6626	28249
19	6955	27822
20	7290	27424
21	7641	27093
22	7973	26695
23	8300	26285
24	8646	25938
25	8975	25546
26	9309	25169
27	9656	24832
28	10011	24511
29	10366	24188
30	10715	23850
31	11066	23517
32	11405	23156
33	11743	22795
34	12102	22476
35	12138	21579
36	12481	21252
37	12819	20916
38	13163	20589
39	13518	20277
40	13850	19931
41	14186	19591
42	14565	19307
43	14893	18955
44	15226	18610
45	15568	18275
46	15924	17957
47	16258	17613
48	16596	17273
49	16984	16984
50	17339	16659
51	17679	16319
52	18127	16075
53	18493	15753
54	18840	15414
55	19215	15097
56	19562	14757
57	19905	14414
58	20268	14085
59	20631	13754
60	20972	13408
61	21307	13059
62	21686	12736
63	22025	12389
64	22356	12037
65	22705	11696
66	23044	11350
67	23372	10998
68	23713	10653
69	24080	10320
70	24419	9974
71	24746	9623
72	25122	9291
73	25462	8946
74	25814	8604
75	26170	8264
76	26528	7924
77	26882	7582
78	27235	7239
79	27634	6908
80	27969	6560
81	28324	6217
82	28697	5877
83	29044	5532
84	29396	5187
85	29736	4840
86	30086	4495
87	30440	4151
88	30775	3803
89	31138	3459
90	31484	3113
91	31830	2767
92	32216	2424
93	32584	2079
94	32968	1735
95	33374	1390
96	33751	1043
97	34128	696
98	34583	349
99	34951	0
